group_id,name,project,phase,role,degree,neighbors,group_status
2,run_9n_3g4_vrtx_first_parity_case.py,pmpd,9n,RESEARCH_OR_UTILITY,1,v4_parity_engine_v2.py,HOLD_SENSITIVE_GROUP
2,run_9n_3g_vrtx_first_parity_case.py,pmpd,9n,RESEARCH_OR_UTILITY,1,v4_parity_engine_v2.py,HOLD_SENSITIVE_GROUP
2,run_9n_3m_24case_python_baseline.py,pmpd,9n,RESEARCH_OR_UTILITY,1,v4_parity_engine_v2.py,HOLD_SENSITIVE_GROUP
2,run_9n_3q_pine_pm_counterfactual.py,pmpd,9n,RESEARCH_OR_UTILITY,1,v4_parity_engine_v2.py,HOLD_SENSITIVE_GROUP
2,run_9n_3r_h2h_preflight.py,pmpd,9n,AUDIT_DIAGNOSTIC,1,v4_parity_engine_v2.py,HOLD_SENSITIVE_GROUP
2,run_9n_3s2_final_h2h.py,pmpd,9n,CANONICAL_OR_FROZEN,1,v4_parity_engine_v2.py,HOLD_SENSITIVE_GROUP
2,run_9n_3s_final_h2h.py,pmpd,9n,CANONICAL_OR_FROZEN,1,v4_parity_engine_v2.py,HOLD_SENSITIVE_GROUP
2,v4_parity_engine_v2.py,pmpd,v4,RESEARCH_OR_UTILITY,10,certify_9n_v4_engine_semantics_v2.py | run_9n_3g2_vrtx_first_parity_case.py | run_9n_3g3_vrtx_first_parity_case.py | run_9n_3g4_vrtx_first_parity_case.py | run_9n_3g_vrtx_first_parity_case.py | run_9n_3m_24case_python_baseline.py | run_9n_3q_pine_pm_counterfactual.py | run_9n_3r_h2h_preflight.py | run_9n_3s2_final_h2h.py | run_9n_3s_final_h2h.py,HOLD_SENSITIVE_GROUP
3,PM_PD_Breakout_V4_8H7_Parity_Capture_PRE_PATCH_BACKUP.pine,pmpd,v4,BACKUP_PROVENANCE,0,,HOLD_SENSITIVE_GROUP
4,Test.py,utilities,misc,RESEARCH_OR_UTILITY,0,,GROUP_MOVE_CANDIDATE
5,acquire_second1m_alt_entry_universe.py,second1m,ingestion,RESEARCH_OR_UTILITY,7,run_altc2_prospective_validation_v1.py | run_altc2_prospective_validation_v1_1.py | run_altc2_prospective_validation_v1_2.py | run_altc2_prospective_validation_v1_3.py | run_altc2_prospective_validation_v1_4.py | run_altc2_prospective_validation_v1_5.py | run_altc2_prospective_validation_v1_6.py,GROUP_MOVE_CANDIDATE
5,extract_a51_a39_original_predictor_bucketing_scope_v1.py,second1m,a37_a56,RESEARCH_OR_UTILITY,1,research_second1m_ae2_c2_predictors_v1.py,GROUP_MOVE_CANDIDATE
5,find_altc2_latest_available_date_v1.py,second1m,altc2,RESEARCH_OR_UTILITY,1,run_altc2_prospective_validation_v1_6.py,GROUP_MOVE_CANDIDATE
5,report_a53_v2_prospective_checkpoint_v1.py,second1m,a37_a56,AUDIT_DIAGNOSTIC,1,update_altc2_prospective_v1_v2.py,GROUP_MOVE_CANDIDATE
5,report_altc2_prospective_checkpoint_v1.py,second1m,altc2,AUDIT_DIAGNOSTIC,1,update_altc2_prospective_v1.py,GROUP_MOVE_CANDIDATE
5,research_second1m_ae2_c2_predictors_v1.py,second1m,ae2,RESEARCH_OR_UTILITY,8,extract_a51_a39_original_predictor_bucketing_scope_v1.py | run_altc2_prospective_validation_v1.py | run_altc2_prospective_validation_v1_1.py | run_altc2_prospective_validation_v1_2.py | run_altc2_prospective_validation_v1_3.py | run_altc2_prospective_validation_v1_4.py | run_altc2_prospective_validation_v1_5.py | run_altc2_prospective_validation_v1_6.py,GROUP_MOVE_CANDIDATE
5,research_second1m_ae2_daily_trend_v1.py,second1m,ae2,RESEARCH_OR_UTILITY,7,run_altc2_prospective_validation_v1.py | run_altc2_prospective_validation_v1_1.py | run_altc2_prospective_validation_v1_2.py | run_altc2_prospective_validation_v1_3.py | run_altc2_prospective_validation_v1_4.py | run_altc2_prospective_validation_v1_5.py | run_altc2_prospective_validation_v1_6.py,GROUP_MOVE_CANDIDATE
5,research_second1m_ae2_ma_context_v1.py,second1m,ae2,RESEARCH_OR_UTILITY,7,run_altc2_prospective_validation_v1.py | run_altc2_prospective_validation_v1_1.py | run_altc2_prospective_validation_v1_2.py | run_altc2_prospective_validation_v1_3.py | run_altc2_prospective_validation_v1_4.py | run_altc2_prospective_validation_v1_5.py | run_altc2_prospective_validation_v1_6.py,GROUP_MOVE_CANDIDATE
5,research_second1m_ae2_market_regime_v1.py,second1m,ae2,RESEARCH_OR_UTILITY,7,run_altc2_prospective_validation_v1.py | run_altc2_prospective_validation_v1_1.py | run_altc2_prospective_validation_v1_2.py | run_altc2_prospective_validation_v1_3.py | run_altc2_prospective_validation_v1_4.py | run_altc2_prospective_validation_v1_5.py | run_altc2_prospective_validation_v1_6.py,GROUP_MOVE_CANDIDATE
5,research_second1m_ae2_opening_volume_v1.py,second1m,ae2,RESEARCH_OR_UTILITY,7,run_altc2_prospective_validation_v1.py | run_altc2_prospective_validation_v1_1.py | run_altc2_prospective_validation_v1_2.py | run_altc2_prospective_validation_v1_3.py | run_altc2_prospective_validation_v1_4.py | run_altc2_prospective_validation_v1_5.py | run_altc2_prospective_validation_v1_6.py,GROUP_MOVE_CANDIDATE
5,research_second1m_ae2_relative_strength_robustness_v1.py,second1m,ae2,RESEARCH_OR_UTILITY,7,run_altc2_prospective_validation_v1.py | run_altc2_prospective_validation_v1_1.py | run_altc2_prospective_validation_v1_2.py | run_altc2_prospective_validation_v1_3.py | run_altc2_prospective_validation_v1_4.py | run_altc2_prospective_validation_v1_5.py | run_altc2_prospective_validation_v1_6.py,GROUP_MOVE_CANDIDATE
5,research_second1m_ae2_relative_strength_v1.py,second1m,ae2,RESEARCH_OR_UTILITY,7,run_altc2_prospective_validation_v1.py | run_altc2_prospective_validation_v1_1.py | run_altc2_prospective_validation_v1_2.py | run_altc2_prospective_validation_v1_3.py | run_altc2_prospective_validation_v1_4.py | run_altc2_prospective_validation_v1_5.py | run_altc2_prospective_validation_v1_6.py,GROUP_MOVE_CANDIDATE
5,research_second1m_ae2_session_levels_v1.py,second1m,ae2,RESEARCH_OR_UTILITY,7,run_altc2_prospective_validation_v1.py | run_altc2_prospective_validation_v1_1.py | run_altc2_prospective_validation_v1_2.py | run_altc2_prospective_validation_v1_3.py | run_altc2_prospective_validation_v1_4.py | run_altc2_prospective_validation_v1_5.py | run_altc2_prospective_validation_v1_6.py,GROUP_MOVE_CANDIDATE
5,research_second1m_ae2_short_ma_warning_v1.py,second1m,ae2,RESEARCH_OR_UTILITY,7,run_altc2_prospective_validation_v1.py | run_altc2_prospective_validation_v1_1.py | run_altc2_prospective_validation_v1_2.py | run_altc2_prospective_validation_v1_3.py | run_altc2_prospective_validation_v1_4.py | run_altc2_prospective_validation_v1_5.py | run_altc2_prospective_validation_v1_6.py,GROUP_MOVE_CANDIDATE
5,research_second1m_ae2_three_index_regime_v1.py,second1m,ae2,RESEARCH_OR_UTILITY,7,run_altc2_prospective_validation_v1.py | run_altc2_prospective_validation_v1_1.py | run_altc2_prospective_validation_v1_2.py | run_altc2_prospective_validation_v1_3.py | run_altc2_prospective_validation_v1_4.py | run_altc2_prospective_validation_v1_5.py | run_altc2_prospective_validation_v1_6.py,GROUP_MOVE_CANDIDATE
5,research_second1m_ae2_trend_exhaustion_robustness_v1.py,second1m,ae2,RESEARCH_OR_UTILITY,7,run_altc2_prospective_validation_v1.py | run_altc2_prospective_validation_v1_1.py | run_altc2_prospective_validation_v1_2.py | run_altc2_prospective_validation_v1_3.py | run_altc2_prospective_validation_v1_4.py | run_altc2_prospective_validation_v1_5.py | run_altc2_prospective_validation_v1_6.py,GROUP_MOVE_CANDIDATE
5,research_second1m_ae2_volume_robustness_v1.py,second1m,ae2,RESEARCH_OR_UTILITY,7,run_altc2_prospective_validation_v1.py | run_altc2_prospective_validation_v1_1.py | run_altc2_prospective_validation_v1_2.py | run_altc2_prospective_validation_v1_3.py | run_altc2_prospective_validation_v1_4.py | run_altc2_prospective_validation_v1_5.py | run_altc2_prospective_validation_v1_6.py,GROUP_MOVE_CANDIDATE
5,research_second1m_ae2_weekly_trend_v1.py,second1m,ae2,RESEARCH_OR_UTILITY,7,run_altc2_prospective_validation_v1.py | run_altc2_prospective_validation_v1_1.py | run_altc2_prospective_validation_v1_2.py | run_altc2_prospective_validation_v1_3.py | run_altc2_prospective_validation_v1_4.py | run_altc2_prospective_validation_v1_5.py | run_altc2_prospective_validation_v1_6.py,GROUP_MOVE_CANDIDATE
5,research_second1m_alt_entry_v1.py,second1m,legacy,RESEARCH_OR_UTILITY,7,run_altc2_prospective_validation_v1.py | run_altc2_prospective_validation_v1_1.py | run_altc2_prospective_validation_v1_2.py | run_altc2_prospective_validation_v1_3.py | run_altc2_prospective_validation_v1_4.py | run_altc2_prospective_validation_v1_5.py | run_altc2_prospective_validation_v1_6.py,GROUP_MOVE_CANDIDATE
5,run_altc2_prospective_validation_v1.py,second1m,altc2,RESEARCH_OR_UTILITY,15,acquire_second1m_alt_entry_universe.py | research_second1m_ae2_c2_predictors_v1.py | research_second1m_ae2_daily_trend_v1.py | research_second1m_ae2_ma_context_v1.py | research_second1m_ae2_market_regime_v1.py | research_second1m_ae2_opening_volume_v1.py | research_second1m_ae2_relative_strength_robustness_v1.py | research_second1m_ae2_relative_strength_v1.py | research_second1m_ae2_session_levels_v1.py | research_second1m_ae2_short_ma_warning_v1.py | research_second1m_ae2_three_index_regime_v1.py | research_second1m_ae2_trend_exhaustion_robustness_v1.py | research_second1m_ae2_volume_robustness_v1.py | research_second1m_ae2_weekly_trend_v1.py | research_second1m_alt_entry_v1.py,GROUP_MOVE_CANDIDATE
5,run_altc2_prospective_validation_v1_1.py,second1m,altc2,RESEARCH_OR_UTILITY,15,acquire_second1m_alt_entry_universe.py | research_second1m_ae2_c2_predictors_v1.py | research_second1m_ae2_daily_trend_v1.py | research_second1m_ae2_ma_context_v1.py | research_second1m_ae2_market_regime_v1.py | research_second1m_ae2_opening_volume_v1.py | research_second1m_ae2_relative_strength_robustness_v1.py | research_second1m_ae2_relative_strength_v1.py | research_second1m_ae2_session_levels_v1.py | research_second1m_ae2_short_ma_warning_v1.py | research_second1m_ae2_three_index_regime_v1.py | research_second1m_ae2_trend_exhaustion_robustness_v1.py | research_second1m_ae2_volume_robustness_v1.py | research_second1m_ae2_weekly_trend_v1.py | research_second1m_alt_entry_v1.py,GROUP_MOVE_CANDIDATE
5,run_altc2_prospective_validation_v1_2.py,second1m,altc2,RESEARCH_OR_UTILITY,15,acquire_second1m_alt_entry_universe.py | research_second1m_ae2_c2_predictors_v1.py | research_second1m_ae2_daily_trend_v1.py | research_second1m_ae2_ma_context_v1.py | research_second1m_ae2_market_regime_v1.py | research_second1m_ae2_opening_volume_v1.py | research_second1m_ae2_relative_strength_robustness_v1.py | research_second1m_ae2_relative_strength_v1.py | research_second1m_ae2_session_levels_v1.py | research_second1m_ae2_short_ma_warning_v1.py | research_second1m_ae2_three_index_regime_v1.py | research_second1m_ae2_trend_exhaustion_robustness_v1.py | research_second1m_ae2_volume_robustness_v1.py | research_second1m_ae2_weekly_trend_v1.py | research_second1m_alt_entry_v1.py,GROUP_MOVE_CANDIDATE
5,run_altc2_prospective_validation_v1_3.py,second1m,altc2,RESEARCH_OR_UTILITY,15,acquire_second1m_alt_entry_universe.py | research_second1m_ae2_c2_predictors_v1.py | research_second1m_ae2_daily_trend_v1.py | research_second1m_ae2_ma_context_v1.py | research_second1m_ae2_market_regime_v1.py | research_second1m_ae2_opening_volume_v1.py | research_second1m_ae2_relative_strength_robustness_v1.py | research_second1m_ae2_relative_strength_v1.py | research_second1m_ae2_session_levels_v1.py | research_second1m_ae2_short_ma_warning_v1.py | research_second1m_ae2_three_index_regime_v1.py | research_second1m_ae2_trend_exhaustion_robustness_v1.py | research_second1m_ae2_volume_robustness_v1.py | research_second1m_ae2_weekly_trend_v1.py | research_second1m_alt_entry_v1.py,GROUP_MOVE_CANDIDATE
5,run_altc2_prospective_validation_v1_4.py,second1m,altc2,RESEARCH_OR_UTILITY,15,acquire_second1m_alt_entry_universe.py | research_second1m_ae2_c2_predictors_v1.py | research_second1m_ae2_daily_trend_v1.py | research_second1m_ae2_ma_context_v1.py | research_second1m_ae2_market_regime_v1.py | research_second1m_ae2_opening_volume_v1.py | research_second1m_ae2_relative_strength_robustness_v1.py | research_second1m_ae2_relative_strength_v1.py | research_second1m_ae2_session_levels_v1.py | research_second1m_ae2_short_ma_warning_v1.py | research_second1m_ae2_three_index_regime_v1.py | research_second1m_ae2_trend_exhaustion_robustness_v1.py | research_second1m_ae2_volume_robustness_v1.py | research_second1m_ae2_weekly_trend_v1.py | research_second1m_alt_entry_v1.py,GROUP_MOVE_CANDIDATE
5,run_altc2_prospective_validation_v1_5.py,second1m,altc2,RESEARCH_OR_UTILITY,15,acquire_second1m_alt_entry_universe.py | research_second1m_ae2_c2_predictors_v1.py | research_second1m_ae2_daily_trend_v1.py | research_second1m_ae2_ma_context_v1.py | research_second1m_ae2_market_regime_v1.py | research_second1m_ae2_opening_volume_v1.py | research_second1m_ae2_relative_strength_robustness_v1.py | research_second1m_ae2_relative_strength_v1.py | research_second1m_ae2_session_levels_v1.py | research_second1m_ae2_short_ma_warning_v1.py | research_second1m_ae2_three_index_regime_v1.py | research_second1m_ae2_trend_exhaustion_robustness_v1.py | research_second1m_ae2_volume_robustness_v1.py | research_second1m_ae2_weekly_trend_v1.py | research_second1m_alt_entry_v1.py,GROUP_MOVE_CANDIDATE
5,run_altc2_prospective_validation_v1_6.py,second1m,altc2,RESEARCH_OR_UTILITY,17,acquire_second1m_alt_entry_universe.py | find_altc2_latest_available_date_v1.py | research_second1m_ae2_c2_predictors_v1.py | research_second1m_ae2_daily_trend_v1.py | research_second1m_ae2_ma_context_v1.py | research_second1m_ae2_market_regime_v1.py | research_second1m_ae2_opening_volume_v1.py | research_second1m_ae2_relative_strength_robustness_v1.py | research_second1m_ae2_relative_strength_v1.py | research_second1m_ae2_session_levels_v1.py | research_second1m_ae2_short_ma_warning_v1.py | research_second1m_ae2_three_index_regime_v1.py | research_second1m_ae2_trend_exhaustion_robustness_v1.py | research_second1m_ae2_volume_robustness_v1.py | research_second1m_ae2_weekly_trend_v1.py | research_second1m_alt_entry_v1.py | update_altc2_prospective_v1.py,GROUP_MOVE_CANDIDATE
5,score_a53_v2_prospective_events_v1.py,second1m,a37_a56,RESEARCH_OR_UTILITY,1,update_altc2_prospective_v1_v2.py,GROUP_MOVE_CANDIDATE
5,update_altc2_prospective_v1.py,second1m,altc2,RESEARCH_OR_UTILITY,3,report_altc2_prospective_checkpoint_v1.py | run_altc2_prospective_validation_v1_6.py | update_altc2_prospective_v1_v2.py,GROUP_MOVE_CANDIDATE
5,update_altc2_prospective_v1_v2.py,second1m,altc2,RESEARCH_OR_UTILITY,3,report_a53_v2_prospective_checkpoint_v1.py | score_a53_v2_prospective_events_v1.py | update_altc2_prospective_v1.py,GROUP_MOVE_CANDIDATE
6,audit_9m_2026_local_inventory.py,pmpd,9m,AUDIT_DIAGNOSTIC,2,audit_9m_2026_symbol_partitions.py | audit_9m_2026_symbol_partitions_v2.py,GROUP_MOVE_CANDIDATE
6,audit_9m_2026_symbol_partitions.py,pmpd,9m,AUDIT_DIAGNOSTIC,1,audit_9m_2026_local_inventory.py,GROUP_MOVE_CANDIDATE
6,audit_9m_2026_symbol_partitions_v2.py,pmpd,9m,AUDIT_DIAGNOSTIC,1,audit_9m_2026_local_inventory.py,GROUP_MOVE_CANDIDATE
7,audit_9n_preserved_tv_parity_evidence_v1.py,pmpd,9n,AUDIT_DIAGNOSTIC,1,recover_9n_parity_reference_evidence_v1.py,GROUP_MOVE_CANDIDATE
7,recover_9n_parity_reference_evidence_v1.py,pmpd,9n,RESEARCH_OR_UTILITY,1,audit_9n_preserved_tv_parity_evidence_v1.py,GROUP_MOVE_CANDIDATE
8,audit_a39_frozen_transition_buckets_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
9,build_a53_candidate_model_v2_prospective_protocol_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
10,certify_9n_v4_reconstruction_static_v1.py,pmpd,9n,AUDIT_DIAGNOSTIC,1,v4_parity_engine_v1.py,GROUP_MOVE_CANDIDATE
10,v4_parity_engine_v1.py,pmpd,v4,RESEARCH_OR_UTILITY,1,certify_9n_v4_reconstruction_static_v1.py,GROUP_MOVE_CANDIDATE
11,certify_v2_full50.py,pmpd,legacy,AUDIT_DIAGNOSTIC,1,patch_certify_v2_full50_parity.py,GROUP_MOVE_CANDIDATE
11,patch_certify_v2_full50_parity.py,pmpd,9j,PATCH_OR_FIX,1,certify_v2_full50.py,GROUP_MOVE_CANDIDATE
12,certify_v2_outcome_independence.py,pmpd,legacy,AUDIT_DIAGNOSTIC,3,derive_and_certify_dp4_structural_clearance.py | patch_outcome_independence_comment_filter.py | vwap_event_path_v2.py,GROUP_MOVE_CANDIDATE
12,derive_and_certify_dp4_structural_clearance.py,pmpd,legacy,AUDIT_DIAGNOSTIC,3,certify_v2_outcome_independence.py | patch_dp4_derivation_duplicate_decision_id.py | patch_dp4_derivation_timezone.py,GROUP_MOVE_CANDIDATE
12,install_and_msft_preflight.ps1,pmpd,legacy,AUDIT_DIAGNOSTIC,1,vwap_event_path_v2.py,GROUP_MOVE_CANDIDATE
12,patch_dp4_derivation_duplicate_decision_id.py,pmpd,legacy,PATCH_OR_FIX,1,derive_and_certify_dp4_structural_clearance.py,GROUP_MOVE_CANDIDATE
12,patch_dp4_derivation_timezone.py,pmpd,legacy,PATCH_OR_FIX,1,derive_and_certify_dp4_structural_clearance.py,GROUP_MOVE_CANDIDATE
12,patch_outcome_independence_comment_filter.py,pmpd,9h,PATCH_OR_FIX,1,certify_v2_outcome_independence.py,GROUP_MOVE_CANDIDATE
12,vwap_event_path_v2.py,pmpd,legacy,RESEARCH_OR_UTILITY,2,certify_v2_outcome_independence.py | install_and_msft_preflight.ps1,GROUP_MOVE_CANDIDATE
13,evaluate_a52_frozen_v2_architecture_outcomes_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
14,extract_a51_original_frozen_candidate_definitions_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
15,freeze_9j_vwap_v2_validation_protocol.py,pmpd,9j,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
16,freeze_a52_candidate_model_v2_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
17,inventory_a39_a37_frozen_geometry_sources_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
18,inventory_a51_2_frozen_candidate_encodings_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
19,inventory_a51_a39_frozen_cutpoints_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
20,inventory_a51_a39_frozen_encoding_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
21,inventory_a51_frozen_quintile_assignments_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
22,join_and_audit_frozen_9h_outcomes.py,pmpd,9h,CANONICAL_OR_FROZEN,2,patch_outcome_join_ambiguous_same_bar.py | patch_outcome_join_prefer_canonical_label.py,HOLD_SENSITIVE_GROUP
22,patch_outcome_join_ambiguous_same_bar.py,pmpd,9h,PATCH_OR_FIX,1,join_and_audit_frozen_9h_outcomes.py,HOLD_SENSITIVE_GROUP
22,patch_outcome_join_prefer_canonical_label.py,pmpd,9h,PATCH_OR_FIX,1,join_and_audit_frozen_9h_outcomes.py,HOLD_SENSITIVE_GROUP
23,patch_9k_discovery_bool_cast.py,pmpd,9k,PATCH_OR_FIX,1,run_9k_classifier_discovery_v1.py,GROUP_MOVE_CANDIDATE
23,run_9k_classifier_discovery_v1.py,pmpd,9k,RESEARCH_OR_UTILITY,1,patch_9k_discovery_bool_cast.py,GROUP_MOVE_CANDIDATE
24,patch_discovery_stage1_restrict_features.py,pmpd,legacy,PATCH_OR_FIX,1,run_9j_vwap_v2_discovery_stage1.py,GROUP_MOVE_CANDIDATE
24,run_9j_vwap_v2_discovery_stage1.py,pmpd,9j,RESEARCH_OR_UTILITY,1,patch_discovery_stage1_restrict_features.py,GROUP_MOVE_CANDIDATE
25,patch_validation_robustness_block_repair_v3.py,pmpd,9j,PATCH_OR_FIX,1,summarize_9j_validation_robustness.py,GROUP_MOVE_CANDIDATE
25,patch_validation_robustness_corr_scope_v2.py,pmpd,9j,PATCH_OR_FIX,1,summarize_9j_validation_robustness.py,GROUP_MOVE_CANDIDATE
25,patch_validation_robustness_no_scipy.py,pmpd,9j,PATCH_OR_FIX,1,summarize_9j_validation_robustness.py,GROUP_MOVE_CANDIDATE
25,summarize_9j_validation_robustness.py,pmpd,9j,AUDIT_DIAGNOSTIC,3,patch_validation_robustness_block_repair_v3.py | patch_validation_robustness_corr_scope_v2.py | patch_validation_robustness_no_scipy.py,GROUP_MOVE_CANDIDATE
26,research_a42_discovery_frozen_quintile_screen_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
27,research_a43_discovery_frozen_quintile_screen_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
28,research_a44_discovery_frozen_quintile_screen_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
29,research_a47_discovery_frozen_confluence_quintile_screen_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
30,research_a49_discovery_frozen_opening_liquidity_quintile_screen_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
31,research_second1m_ae2_candidate_models_v1.py,second1m,ae2,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
32,research_second1m_ae2_final_temporal_audit_v1.py,second1m,ae2,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
33,run_9j_vwap_v2_frozen_validation.py,pmpd,9j,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
34,run_9k_frozen_ablation_v1.py,pmpd,9k,CANONICAL_OR_FROZEN,0,,HOLD_SENSITIVE_GROUP
